Treatment_specific,Treatment_general,Pot,Plant,Plant_N,Aphid_Number,Plant_weight,Garlic,Garlic_weight,Hst_div,Predtr
barley_mono_aphid_predator,mono_predator,25,barley,73,19,0.042,absent,0,barley alone,present
barley_mono_aphid_predator,mono_predator,25,barley,74,10,0.031,absent,0,barley alone,present
barley_mono_aphid_predator,mono_predator,25,barley,75,22,0.039,absent,0,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,26,barley,76,8,0.04,present,0.569,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,26,barley,77,9,0.036,present,0.569,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,26,barley,78,8,0.034,present,0.569,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,27,barley,79,4,0.025,present,0.273,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,27,barley,80,5,0.029,present,0.273,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,27,barley,81,4,0.018,present,0.273,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,28,barley,82,11,0.041,present,0.609,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,28,barley,83,6,0.035,present,0.609,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,28,barley,84,20,0.05,present,0.609,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,29,barley,85,3,0.03,present,0.495,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,29,barley,86,17,0.044,present,0.495,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,29,barley,87,3,0.023,present,0.495,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,30,barley,88,4,0.024,present,0.214,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,30,barley,89,0,0.017,present,0.214,barley alone,present
barley_mono_aphid_predator_garlic,mono_predator_garlic,30,barley,90,2,0.022,present,0.214,barley alone,present
poli__aphid_predator,poli_predator,31,barley,91,11,0.031,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,31,wheat,92,4,0.029,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,31,rye,93,20,0.042,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,32,barley,94,3,0.022,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,32,wheat,95,11,0.032,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,32,rye,96,19,0.041,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,33,barley,97,11,0.035,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,33,wheat,98,21,0.045,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,33,rye,99,4,0.024,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,34,barley,100,34,0.063,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,34,wheat,101,21,0.041,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,34,rye,102,15,0.037,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,35,barley,103,25,0.047,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,35,wheat,104,21,0.049,absent,0,barley intercropped,present
poli__aphid_predator,poli_predator,35,rye,105,4,0.027,absent,0,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,36,barley,106,7,0.034,present,0.312,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,36,wheat,107,4,0.032,present,0.312,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,36,rye,108,9,0.034,present,0.312,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,37,barley,109,9,0.034,present,0.456,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,37,wheat,110,26,0.054,present,0.456,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,37,rye,111,14,0.034,present,0.456,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,38,barley,112,15,0.039,present,0.406,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,38,wheat,113,25,0.058,present,0.406,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,38,rye,114,1,0.031,present,0.406,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,39,barley,115,15,0.038,present,0.342,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,39,wheat,116,2,0.03,present,0.342,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,39,rye,117,4,0.033,present,0.342,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,40,barley,118,6,0.031,present,0.391,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,40,wheat,119,16,0.047,present,0.391,barley intercropped,present
poli__aphid_predator_garlic,poli_predator_garlic,40,rye,120,11,0.034,present,0.391,barley intercropped,present
