N,Treatment_,Diversity,Treatment,Treatment_1_,biocontr,Host_diversity,Pot,Plant,Plant_N,Aphid_Number,Aphid_Number_ln,Plant_weight,Aphid_load_ln,Aphid_load,Aphid_load_1,Aphid,Garlic,Predator,Garlic_weight,Garlic_weight_ln
86,poli__aphid,poli,poli,p,1,3,14,wheat,86,5,1.609437912,0.039,4.853631545,128.2051282,128.21,1,0,0,0,0
87,poli__aphid,poli,poli,p,1,3,14,rye,87,28,3.33220451,0.034,6.713599265,823.5294118,823.53,1,0,0,0,0
88,poli__aphid,poli,poli,p,1,3,15,barley,88,29,3.36729583,0.042,6.537381491,690.4761905,690.48,1,0,0,0,0
89,poli__aphid,poli,poli,p,1,3,15,wheat,89,9,2.197224577,0.052,5.153736138,173.0769231,173.08,1,0,0,0,0
90,poli__aphid,poli,poli,p,1,3,15,rye,90,33,3.496507561,0.032,6.938526938,1031.25,1031.25,1,0,0,0,0
91,poli__aphid_garlic,poli,poli_garlic,pg,2,3,16,barley,91,5,1.609437912,0.028,5.184988681,178.5714286,178.57,1,1,0,0.46,-0.776528789
92,poli__aphid_garlic,poli,poli_garlic,pg,2,3,16,wheat,92,32,3.465735903,0.032,6.907755279,1000,1000.00,1,1,0,0.46,-0.776528789
93,poli__aphid_garlic,poli,poli_garlic,pg,2,3,16,rye,93,10,2.302585093,0.029,5.843044542,344.8275862,344.83,1,1,0,0.46,-0.776528789
94,poli__aphid_garlic,poli,poli_garlic,pg,2,3,17,barley,94,43,3.761200116,0.037,7.058037482,1162.162162,1162.16,1,1,0,0.141,-1.958995389
95,poli__aphid_garlic,poli,poli_garlic,pg,2,3,17,wheat,95,45,3.80666249,0.049,6.822597471,918.3673469,918.37,1,1,0,0.141,-1.958995389
96,poli__aphid_garlic,poli,poli_garlic,pg,2,3,17,rye,96,39,3.663561646,0.032,7.105581022,1218.75,1218.75,1,1,0,0.141,-1.958995389
97,poli__aphid_garlic,poli,poli_garlic,pg,2,3,18,barley,97,57,4.043051268,0.045,7.144144057,1266.666667,1266.67,1,1,0,0.3,-1.203972804
98,poli__aphid_garlic,poli,poli_garlic,pg,2,3,18,wheat,98,5,1.609437912,0.032,5.051457289,156.25,156.25,1,1,0,0.3,-1.203972804
99,poli__aphid_garlic,poli,poli_garlic,pg,2,3,18,rye,99,20,2.995732274,0.02,6.907755279,1000,1000.00,1,1,0,0.3,-1.203972804
100,poli__aphid_garlic,poli,poli_garlic,pg,2,3,19,barley,100,12,2.48490665,0.035,5.837313867,342.8571429,342.86,1,1,0,0.47,-0.755022584
